,blue,blue,green,green,red,red,yellow,yellow
33,[0.29030276 0.29441325 0.6135647 ],[0.15381819 0.10397898 0.11483342],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.67860391 0.06430929 0.08557954],[0.04595503 0.02391218 0.02739703],[0.98278868 0.98278868 0.63821304],[0.02760123 0.02760123 0.15726165]
34,[0.32513754 0.26917929 0.62069292],[0.15752035 0.10185947 0.10947456],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.67860391 0.06430929 0.08557954],[0.04595503 0.02391218 0.02739703],[0.98278868 0.98278868 0.63821304],[0.02760123 0.02760123 0.15726165]
35,[0.34769643 0.28319939 0.61595644],[0.16745867 0.10965312 0.10234257],[0.34448398 0.71971934 0.22784239],[0.09656678 0.07882642 0.07246389],[0.67565976 0.06323743 0.08415317],[0.04570049 0.02358141 0.02706043],[0.98316284 0.98316284 0.64343519],[0.0270075 0.0270075 0.1550701]
36,[0.32286216 0.31647066 0.6433868 ],[0.16351596 0.11621258 0.10481477],[0.35387443 0.69936232 0.21651899],[0.08511323 0.07187401 0.06430347],[0.66944234 0.06022603 0.08014574],[0.0442973  0.02263982 0.02609298],[0.98481354 0.98481354 0.66647408],[0.02438477 0.02438477 0.14475037]
37,[0.32286216 0.31647066 0.6433868 ],[0.16351596 0.11621258 0.10481477],[0.35387443 0.69936232 0.21651899],[0.08511323 0.07187401 0.06430347],[0.66944234 0.06022603 0.08014574],[0.0442973  0.02263982 0.02609298],[0.98481354 0.98481354 0.66647408],[0.02438477 0.02438477 0.14475037]
38,[0.29478843 0.28895268 0.67439528],[0.15757362 0.11405898 0.10579735],[0.35387443 0.69936232 0.21651899],[0.08511323 0.07187401 0.06430347],[0.68917772 0.05663033 0.07536078],[0.04778681 0.02149177 0.02489574],[0.98481354 0.98481354 0.66647408],[0.02438477 0.02438477 0.14475037]
39,[0.29478843 0.28895268 0.67439528],[0.15757362 0.11405898 0.10579735],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.68917772 0.05663033 0.07536078],[0.04778681 0.02149177 0.02489574],[0.98472852 0.98472852 0.66949438],[0.0239162  0.0239162  0.14243194]
40,[0.2767409  0.27126243 0.68232514],[0.15292114 0.11187477 0.10028447],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.6811539  0.05420325 0.07213094],[0.04717655 0.02070223 0.02406172],[0.98472852 0.98472852 0.66949438],[0.0239162  0.0239162  0.14243194]
41,[0.27674092 0.27126244 0.68232512],[0.15292115 0.11187476 0.10028448],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.68309358 0.05269756 0.07012725],[0.0477203  0.02020649 0.02353383],[0.98472852 0.98472852 0.66949438],[0.0239162  0.0239162  0.14243194]
42,[0.27674092 0.27126244 0.68232512],[0.15292115 0.11187476 0.10028448],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.68309358 0.05269756 0.07012725],[0.0477203  0.02020649 0.02353383],[0.98521104 0.98521104 0.69056139],[0.02109158 0.02109158 0.12891771]
43,[0.27674092 0.27126244 0.68232512],[0.15292115 0.11187476 0.10028448],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.68309358 0.05269756 0.07012725],[0.0477203  0.02020649 0.02353383],[0.98521104 0.98521104 0.69056139],[0.02109158 0.02109158 0.12891771]
44,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.69577018 0.0505896  0.06732208],[0.04966804 0.01950485 0.0227813 ],[0.98521104 0.98521104 0.69056139],[0.02109158 0.02109158 0.12891771]
45,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.36179044 0.70669493 0.21573349],[0.08554383 0.07227168 0.06275977],[0.69577018 0.0505896  0.06732208],[0.04966804 0.01950485 0.0227813 ],[0.98521104 0.98521104 0.69056139],[0.02109158 0.02109158 0.12891771]
46,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.3822319  0.7476711  0.19669071],[0.07573146 0.07156681 0.0620761 ],[0.69577018 0.0505896  0.06732208],[0.04966804 0.01950485 0.0227813 ],[0.98677957 0.98677957 0.71048703],[0.01887533 0.01887533 0.118591  ]
47,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.3822319  0.7476711  0.19669071],[0.07573146 0.07156681 0.0620761 ],[0.68141357 0.04684213 0.06233513],[0.04856517 0.01823555 0.02140462],[0.98677957 0.98677957 0.71048703],[0.01887533 0.01887533 0.118591  ]
48,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.39527244 0.75097995 0.19665469],[0.07399757 0.06753218 0.05842459],[0.68161633 0.04789693 0.06320099],[0.04797622 0.01810328 0.02120431],[0.98650186 0.98650186 0.71540193],[0.01805636 0.01805636 0.11396629]
49,[0.29142122 0.28790237 0.68929911],[0.15039176 0.10903195 0.1048323 ],[0.39527244 0.75097995 0.19665469],[0.07399757 0.06753218 0.05842459],[0.68200736 0.04993118 0.06487085],[0.04684017 0.0178419  0.02081375],[0.98650186 0.98650186 0.71540193],[0.01805636 0.01805636 0.11396629]
